dataset,seed,fold,kappa,lambda_aff_spk_adv,lambda_orth,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_rep_linear_mi_lb_bits,c_aff_rep_linear_control_bits,c_aff_rep_linear_entropy_bits,c_aff_rep_mlp_mi_lb_bits,c_aff_rep_mlp_control_bits,c_aff_rep_mlp_entropy_bits,c_style_rep_linear_mi_lb_bits,c_style_rep_linear_control_bits,c_style_rep_linear_entropy_bits,c_style_rep_mlp_mi_lb_bits,c_style_rep_mlp_control_bits,c_style_rep_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,c_aff_probe_acc,c_aff_leakage_index,input_cmn
iemocap,43,2,0.0,0.0,0.0,10,288.3,0.5209408893432894,0.4976830942164658,0.5097173144876325,0.0636506172675038,-0.006730519796398,0.9910444329385492,0.0601072501860497,-0.0072487326181542,0.9910444329385492,0.0543153453944068,-0.0095809292065326,0.9910444329385492,0.0400070382473709,-0.0064125593484688,0.9910444329385492,0.4825039542788634,-0.1029997908112493,0.9910444329385492,0.3268524394618624,-0.0493042602338643,0.9910444329385492,0.6105882352941177,0.2211764705882353,
iemocap,43,2,0.5,0.175,0.025,31,604.8,0.5271860376715471,0.5262053119713105,0.5185512367491166,0.0555637125536541,-0.0090594150526041,0.9910444329385492,0.0629965722637585,-0.014848932289451,0.9910444329385492,0.052048164207174,-0.0083231288140268,0.9910444329385492,0.0368107072480897,-0.0132093226888775,0.9910444329385492,0.5073910264143358,-0.1490639043957703,0.9910444329385492,0.4538295643339186,-0.1227549268904869,0.9910444329385492,0.5976470588235295,0.195294117647059,
iemocap,43,2,1.0,0.35,0.05,26,545.2,0.5087174680087015,0.4856705570914466,0.4946996466431095,0.0394725924014595,-0.0023977450966662,0.9910444329385492,0.0526873998359563,-0.0140295916675668,0.9910444329385492,0.024887647440575,-0.0067774587454757,0.9910444329385492,-0.0085422578673312,-0.0081332566605416,0.9910444329385492,0.5765143424195474,-0.1018408156070566,0.9910444329385492,0.4480986331120139,-0.0454798371170576,0.9910444329385492,0.5894117647058824,0.1788235294117648,
iemocap,43,2,2.0,0.7,0.1,17,408.9,0.5185388475996149,0.5086374954542672,0.5114840989399293,0.01422139568029,-0.0059499002474714,0.9910444329385492,0.0299907180594195,-0.0069607514698871,0.9910444329385492,0.0687290751992262,-0.0071060524694037,0.9910444329385492,0.0348270812483455,-0.0089906797349116,0.9910444329385492,0.4933267796029827,-0.0944043722570718,0.9910444329385492,0.3129587894725445,-0.0449790230316321,0.9910444329385492,0.5617647058823529,0.1235294117647058,
iemocap,43,2,4.0,1.4,0.2,9,285.5,0.510574350549577,0.4799913239917672,0.4858657243816254,0.0370458303130656,-0.004469965841196,0.9910444329385492,0.0401259168837252,-0.0064156142021015,0.9910444329385492,0.091441560997536,-0.0047029327645481,0.9910444329385492,0.0385390655467906,-0.0076576263340339,0.9910444329385492,0.4346878907023199,-0.0782222403895579,0.9910444329385492,0.1999944181613937,-0.0478103157478856,0.9910444329385492,0.5841176470588236,0.1682352941176472,
iemocap,43,2,8.0,2.8,0.4,30,599.2,0.5004775634910579,0.4760990833859243,0.4787985865724382,0.0286647802695373,-0.0016370689464197,0.9910444329385492,0.0327770381759043,-0.0087653661781892,0.9910444329385492,0.0526362069378889,-0.0084547913739668,0.9910444329385492,0.0404553656508924,-0.0067085698208187,0.9910444329385492,0.4139814731711067,-0.1283795290146211,0.9910444329385492,0.2802733475442209,-0.0717777375552343,0.9910444329385492,0.5823529411764706,0.1647058823529412,
iemocap,43,2,16.0,5.6,0.8,18,416.5,0.5075909031549277,0.4749867060097227,0.4743816254416961,0.0215620553115241,-0.0060636888469294,0.9910444329385492,0.016874403576385,-0.0079319668984959,0.9910444329385492,0.0721632237582062,-0.0047939100121806,0.9910444329385492,0.0511401553208936,-0.0038334263876913,0.9910444329385492,0.3178812027397936,-0.1213295462014142,0.9910444329385492,0.2230241850509048,-0.0697961723859336,0.9910444329385492,0.5894117647058824,0.1788235294117648,
iemocap,43,3,0.0,0.0,0.0,35,582.9,0.5204426741786101,0.511910694474904,0.5314748201438849,0.1068618197190368,-0.0084570824221938,0.9973008701007468,0.0904170642847072,-0.0057981992235494,0.9973008701007468,0.0444115431976084,-0.0066874729912309,0.9973008701007468,0.0427117517420805,-0.0089109862604628,0.9973008701007468,0.5780242444634656,-0.1741688310228482,0.9973008701007468,0.4707964402276869,-0.1096878532120697,0.9973008701007468,0.6592814371257485,0.318562874251497,
iemocap,43,3,0.5,0.175,0.025,24,502.9,0.5207948154493027,0.5157768748462045,0.5233812949640287,0.1003951040698827,-0.0101900994824022,0.9973008701007468,0.0805178434448584,-0.0078230885794925,0.9973008701007468,0.0466458646399609,-0.0090036016640275,0.9973008701007468,0.0150087858256493,-0.0068200097726041,0.9973008701007468,0.5594363873575463,-0.1210922199500008,0.9973008701007468,0.3847584178329785,-0.1047220014462919,0.9973008701007468,0.6431137724550898,0.2862275449101796,
iemocap,43,3,1.0,0.35,0.05,37,586.6,0.5253779745827432,0.5202871159030514,0.5296762589928058,0.1234192064715249,-0.0056487323198659,0.9973008701007468,0.0886950902721108,-0.011307182495609,0.9973008701007468,0.0474627764944614,-0.0043376918620441,0.9973008701007468,0.047086470990486,-0.0113550990295876,0.9973008701007468,0.5583199336367834,-0.1393865913341381,0.9973008701007468,0.3897453303496189,-0.1348783290317652,0.9973008701007468,0.6724550898203593,0.3449101796407186,
