dataset,variant,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits
iemocap,leace_trans,42,2,16,36.3,0.5524145062011586,0.520305937834011,0.16985951953752376,-0.17930489167369446,0.9910444329385492
iemocap,leace_trans,42,3,9,37.2,0.5205475646420863,0.5095672276320113,0.2595571450218829,-0.08832634309994458,0.9973008701007469
iemocap,leace_trans,42,4,15,24.5,0.5787610392344973,0.5367165668805792,0.18183743066529123,-0.1821301210071905,0.9994846138022001
iemocap,leace_trans,42,5,31,37.2,0.5406698478066985,0.5125239415480428,0.4303474670567359,-0.10404231144102394,0.9998765061155545
iemocap,leace_trans,43,1,18,21.8,0.5594141158446527,0.55097157712592,0.4036374590681293,-0.1739619246634303,0.9836697149306288
iemocap,leace_trans,43,2,32,24.8,0.5517232810335864,0.5349959923647853,0.16620332985722297,-0.1889356147128639,0.9910444329385492
iemocap,leace_trans,43,3,11,14.4,0.5692278283470329,0.5429951102057259,0.20439050987537677,-0.10159915204208425,0.9973008701007469
iemocap,leace_trans,43,4,28,22.7,0.6030009462695004,0.5722023712779697,0.22626342783013176,-0.14678767795791947,0.9994846138022001
iemocap,leace_trans,43,5,10,19.5,0.5390595020385719,0.5003982952160476,0.49238637293440535,-0.13375348298773015,0.9998765061155545
iemocap,leace_trans,44,1,7,16.5,0.5669221351168375,0.5319936260678861,0.4952426058809816,-0.12456680209238469,0.9836697149306288
iemocap,leace_trans,44,2,23,17.3,0.5506029302034073,0.5425760083975932,0.03496214003530618,-0.2001237245060129,0.9910444329385492
iemocap,leace_trans,44,3,20,19.0,0.5527371432373132,0.5415790349871789,0.1928130553966234,-0.18599864623779294,0.9973008701007469
iemocap,leace_trans,44,4,26,21.8,0.6114557481496458,0.5753978363491159,0.21156675279192838,-0.14067788302859785,0.9994846138022001
iemocap,leace_trans,44,5,11,17.5,0.5047926616638225,0.4866042155104101,0.4385818370010718,-0.1371363961764892,0.9998765061155545
iemocap,plain,42,1,12,15.8,0.5502320045906897,0.49804899199014036,0.4236149593764783,-0.1522514342367396,0.9836697149306288
iemocap,plain,42,2,16,30.6,0.559395488376135,0.5217279828523487,0.1433834541354625,-0.1768191541540659,0.9910444329385492
iemocap,plain,42,3,9,36.2,0.5281488332498772,0.5193767286202902,0.251078702053785,-0.09038645548137181,0.9973008701007469
iemocap,plain,42,4,15,23.5,0.5977215682491597,0.5572316578985254,0.12968109849623566,-0.18081636200267448,0.9994846138022001
iemocap,plain,42,5,31,36.3,0.590697960563338,0.5642236460033699,0.49400746905081316,-0.09651404706866684,0.9998765061155545
iemocap,plain,43,1,18,20.3,0.5686493796188182,0.5553959642707018,0.3749444485558058,-0.16998908359528686,0.9836697149306288
iemocap,plain,43,2,32,23.7,0.5554617808420682,0.5310080413910092,0.12662197853732182,-0.18664745848929154,0.9910444329385492
iemocap,plain,43,3,11,13.0,0.5895567340911108,0.5629120344380966,0.14715489214314392,-0.09853542822008099,0.9973008701007469
iemocap,plain,43,4,28,21.6,0.6020641246113765,0.56111438660784,0.20168888639775007,-0.14264263535956434,0.9994846138022001
iemocap,plain,43,5,10,18.1,0.6041505906865926,0.5615166819244117,0.4623124122865043,-0.12064342153042673,0.9998765061155545
iemocap,plain,44,1,7,15.3,0.5687347617930122,0.530757283168165,0.43401768632439575,-0.1223060321156837,0.9836697149306288
iemocap,plain,44,2,23,16.3,0.5640513152126579,0.5519384735786218,0.11015415597628964,-0.1982713160000985,0.9910444329385492
iemocap,plain,44,3,20,17.9,0.5710887497725354,0.5591328962420963,0.21663161602589398,-0.18368999771881578,0.9973008701007469
iemocap,plain,44,4,26,20.4,0.6112578832541269,0.5689707176676253,0.23613026511053292,-0.13781360896020656,0.9994846138022001
iemocap,plain,44,5,11,16.3,0.5834901298349013,0.5649365188637555,0.46831205190181846,-0.12854293642888248,0.9998765061155545
iemocap,subtract,42,1,12,16.4,0.5635906015934222,0.5026110475913474,-0.05890288473823757,-0.15838300396502047,0.9836697149306288
iemocap,subtract,42,2,16,33.6,0.5526364087409952,0.516857874268172,-0.2172684781803632,-0.17157220923828265,0.9910444329385492
iemocap,subtract,42,3,9,36.7,0.540931879359492,0.4982855847818193,0.001925632764849361,-0.08891459469844998,0.9973008701007469
iemocap,subtract,42,4,15,24.0,0.5942388496661142,0.5563818533765288,0.2378263707976047,-0.17854263857268815,0.9994846138022001
iemocap,subtract,42,5,31,36.8,0.6122381957888559,0.5820738998329594,0.10276353135560301,-0.1373945619746738,0.9998765061155545
iemocap,subtract,43,1,18,21.1,0.569150956345367,0.5019366126079059,-0.26981045978550267,-0.17597177429522604,0.9836697149306288
iemocap,subtract,43,2,32,24.3,0.5629903131625157,0.5226268678292666,-0.007905903280591042,-0.19661473699170517,0.9910444329385492
iemocap,subtract,43,3,11,13.7,0.5501002481102817,0.5028670098564686,0.03560320696779118,-0.10052876623003959,0.9973008701007469
iemocap,subtract,43,4,28,22.2,0.5940150068415981,0.5572463030148059,-0.20688938159333958,-0.14191365179012105,0.9994846138022001
iemocap,subtract,43,5,10,18.9,0.5759868063772091,0.5182967939158986,-0.017889312225982335,-0.17221089542388912,0.9998765061155545
