dataset,variant,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits
ravdess,inlp_trans,43,1,32,21.9,0.49375,0.485774394092425,-0.336511847383842,-0.24441242087227755,2.3219280948873626
ravdess,inlp_trans,43,2,33,20.6,0.475,0.4676531718696601,-0.3596816145867554,-0.39255407330051817,2.3219280948873626
ravdess,inlp_trans,43,3,30,25.7,0.475,0.4134207334558224,-0.260691004613526,-0.2570322512580492,2.3219280948873626
ravdess,inlp_trans,43,4,21,25.4,0.403125,0.3794856458592639,-0.454285921571957,-0.21278673648518476,2.3219280948873626
ravdess,inlp_trans,43,5,26,24.1,0.4140625,0.36968506875128265,-0.39991050597327016,-0.12423792911691489,2.0
ravdess,inlp_trans,44,1,17,19.2,0.471875,0.46626878965414476,-0.23047644733555472,-0.23183837689011622,2.3219280948873626
ravdess,inlp_trans,44,2,14,18.5,0.43125,0.4179077539535764,-0.4718802163809648,-0.41894507443453,2.3219280948873626
ravdess,inlp_trans,44,3,14,17.5,0.478125,0.4427414710518305,-0.07369995414247477,-0.27693337046540023,2.3219280948873626
ravdess,inlp_trans,44,4,29,10.1,0.43124999999999997,0.40940002261270636,-0.37911222137288725,-0.24524978749013737,2.3219280948873626
ravdess,inlp_trans,44,5,14,7.8,0.3203125,0.27905795737566697,-0.395501009449041,-0.29644150137385816,2.0
ravdess,leace_trainfit,42,1,17,22.1,0.45625,0.4405957580137625,1.1107125841721235,-0.5593303917217072,2.3219280948873626
ravdess,leace_trainfit,42,2,23,24.5,0.403125,0.3897027249954708,1.5415652800145323,-0.715853757239207,2.3219280948873626
ravdess,leace_trainfit,42,3,21,20.1,0.425,0.39615060192135443,1.4336297733779397,-0.6688222593866215,2.3219280948873626
ravdess,leace_trainfit,42,4,22,19.8,0.45625,0.4159330684803449,1.1966079333990944,-0.8023762711526805,2.3219280948873626
ravdess,leace_trainfit,42,5,36,17.3,0.44921875,0.4332207450788531,0.8719484609275538,-0.7902230409452216,2.0
ravdess,leace_trainfit,43,1,32,20.0,0.47187500000000004,0.46481477153639483,1.3326857405968136,-0.7541222214011265,2.3219280948873626
ravdess,leace_trainfit,43,2,33,18.8,0.453125,0.45144869821160827,0.9169741922641514,-0.8074598791236527,2.3219280948873626
ravdess,leace_trainfit,43,3,30,24.8,0.47187499999999993,0.4323823420249896,1.1203039242983743,-0.5623154822096561,2.3219280948873626
ravdess,leace_trainfit,43,4,21,24.5,0.46875,0.4366449493069603,1.3405088088896358,-0.6911194689512525,2.3219280948873626
ravdess,leace_trainfit,43,5,26,23.5,0.37890625,0.3577009808265019,0.7337566921431884,-0.24968240731725322,2.0
